layer,unit,summary
layer3,16,hands in pictures
layer4,433,brown dog faces
layer4,433,the region shows curved items
layer4,433,pictures of animal
layer4,415,bowties
layer4,415,bowties of different colors
layer4,415,"people, animals, food, and fruit"
layer4,2001,"a dog on the hand, a kid with a harmonica, a kid on the grass, a bird on the sand,"
layer4,2001,animals kids and keyboards
layer4,2001,brown animals
layer4,1955,"handles, fire hydrants and beads and accessories"
layer4,1955,multiple items that are similar
layer4,1955,"animal, collar, scale, fish, bucket"
layer2,290,"space above a dog, space above a polar bear"
layer2,290,the animals are in play
layer2,290,dog looking in the human
layer3,373,lightly colored circles
layer3,373,circular objects
layer3,373,knobs
layer3,991,"repeating black, white and brown colors"
layer3,991,whiskers and grid objects
layer3,991,fur like patterns
layer4,849,animals and curves
layer4,849,fur textured areas
layer4,849,furry brown animals
layer4,1166,"vehicles, animals, appliances and boxes"
layer4,1166,rectangular objects
layer4,1166,animals and vehicles
conv1,16,underwater realize
conv1,16,tables and shirts
conv1,16,animals in the sea
layer3,239,borders of objects
layer3,239,"lipstick on a table, a dog staring at a computer screen"
layer3,239,area where light hits and object
layer2,237,the color red and yellow
layer2,237,mushroom caps
layer2,237,red areas in picture
layer4,45,"animals, lamps, handles and parachutes"
layer4,45,the underside of things
layer4,45,"sky, bottle, lamp, balloon, sign"
layer4,477,"penny, and sticks"
layer4,477,"objects with short, thin protrusions"
layer4,477,items that have straight lines
layer4,1267,"chest of a dog, a bird, a snake in the grass, a tombstone, a dog near a shelf, a boy playing in water"
layer4,1267,animals
layer4,1267,necks of dogs
layer4,1507,"a bridge with cables, a snake, aquatic life, a man holding a fish"
layer4,1507,"animals, chains and bridges"
layer4,1507,a striped pattern
layer3,297,support pole to a mega phone is attached to
layer3,297,"bottles, poles and cylinders"
layer3,297,the area around a meeting of 2 colors
layer2,109,"dots on animals, clocks and vehicles"
layer2,109,red dots on different objects
layer2,109,red areas in pictures
layer4,220,"cords, furniture and plates"
layer4,220,item with lines
layer4,220,items with straight lines
layer4,441,animals and electronics
layer4,441,black poles and brown animals
layer4,441,"wildlife and entertainment, such as electronics and exercise equipment"
layer4,721,"bird, people on a row boat"
layer4,721,"lipsticks, birds, balls, android"
layer4,721,"ball, lipstick, person, cake"
layer4,1988,people and vehicles
layer4,1988,red accented objects
layer4,1988,"red, black or white items"
layer3,309,human legs and the circles of color
layer3,309,hairy or have lines in them
layer3,309,the front of things
layer1,244,the color pink and red
layer1,244,pink objects and lighting
layer1,244,red and purple areas
layer4,345,curved lines
layer4,345,"object with curved, smooth features"
layer4,345,neck braces
layer4,307,animals and circular objects
layer4,307,brown animals
layer4,307,similar color patterns
layer4,1033,animals and circular objects
layer4,1033,faces and birds
layer4,1033,"person, nature"
layer4,1333,"animals, vehicles, and pinecones"
layer4,1333,brown and black animals
layer4,1333,"person, nature"
layer2,406,dogs in front of a chain link fence
layer2,406,eyes of dogs
layer2,406,animal below eye
layer3,583,black objects with a dot of red or brown in the middle
layer3,583,eyes of brown dogs
layer3,583,heads of both people and animals
layer4,1200,"animals, bricks and posting"
layer4,1200,red and orange objects
layer4,1200,pictures of animal
layer2,322,yellow ear-tips
layer2,322,a guitar pick in some string
layer2,322,"animal, food"
layer3,62,brown dog eyes
layer3,62,faces of dogs
layer3,62,canine
layer3,155,legs of bugs
layer3,155,"insect, animal"
layer3,155,legs of animals
layer3,741,birds
layer3,741,feathers on wings
layer3,741,bird wings
layer4,1176,things with edges
layer4,1176,orange objects
layer4,1176,rounded edges in pictures
layer4,1647,"two friends, door, kids forehead, a cabinet, trim of a room"
layer4,1647,shelves and fences
layer4,1647,"a lot of these show both empty and filled shelves or cabinets, the rest are doors and windows and some flowers on the ground"
layer4,1862,birds and horses in snow
layer4,1862,buildings and animals
layer4,1862,two items that are connected
conv1,17,"a bottle on a road, a octopus, a shark"
conv1,17,ocean water
conv1,17,bright blue areas
layer2,176,spots of the color white
layer2,176,the outline of animals
layer2,176,"animal, food, insect, plane, truck"
layer2,270,the outline of objects with dots
layer2,270,pale areas on or near subject
layer2,270,red colored objects
layer4,822,"forehead of a person, trees of a skyline, person's head. water fountain"
layer4,822,"animals, fountains and trees"
layer4,822,textured objects or surfaces
layer4,496,animals and circular objects
layer4,496,rounded objects
layer4,496,people and animals and appliances
layer4,2029,items on surfaces
layer4,2029,"flower, bird"
layer4,2029,behinds of animals
layer4,1842,"light switch, ethernet port, person playing the guitar"
layer4,1842,"furniture, tables and guitars"
layer4,1842,items with angles
layer3,203,the space above red items
layer3,203,"rocks, water, person, plant"
layer3,203,similar patterns
layer2,474,the color red
layer2,474,red and yellow objects
layer2,474,red objects and animals
layer4,151,square objects
layer4,151,rectangular objects
layer4,151,cubed objects
layer4,194,"towers, homes and animals"
layer4,194,textured objects
layer4,194,winter trees
layer4,1225,"animals, appliances and mounds"
layer4,1225,straw and hands
layer4,1225,rounded edges in pictures
layer4,1103,yellow objects
layer4,1103,hands
layer4,1103,yellow features
layer2,507,"straight, white, lines"
layer2,507,grids and diagonal lines
layer2,507,rounded edges in pictures
layer2,397,few tomatoes for sale in a display rack
layer2,397,pink and red dots
layer2,397,red dots and eyes
layer3,862,objects surrounded by grass and foliage
layer3,862,light reflections in the background
layer3,862,green plants and twigs
layer4,72,reflective and white backgrounds
layer4,72,arched objects
layer4,72,have rounded tops
layer4,1746,"dogs walking along the grass, a stick to hit a bell with, someone is taking shots out fo a syringe"
layer4,1746,wooden objects
layer4,1746,wooden and stick shaped objects
layer4,1770,"beetles on the sand, snail. person diving"
layer4,1770,items on other objects
layer4,1770,"animal, nature"
layer4,1021,"water towers in the distance, a clock tower's base, a spoons handle, a large two story building"
layer4,1021,"windows, buildings, water towers and pins"
layer4,1021,"animals, people, nature, building, water tower"
layer4,1377,food and animals
layer4,1377,"animals, fabric and texture"
layer4,1377,living things
layer1,40,space on a circle of guitar picks
layer1,40,dogs
layer1,40,designs on objects
layer2,477,street lights
layer2,477,"space at the top of a dress, space at arches of a mansion or large building, space at the bottom of a monument"
layer2,477,small lights on buildings
layer4,44,"poles, handles, legs and lamps"
layer4,44,legs
layer4,44,the dog has a round nose just like the glass has a round base
layer3,657,wooden tables
layer3,657,wood grain
layer3,657,wooden
conv1,15,"a belt, a guitar pick"
conv1,15,black and white stripes
conv1,15,"animal, mask, radio"
layer2,506,aquatic life and objects in the sky
layer2,506,a line in the middle of area
layer2,506,specific patterns
layer4,32,wooden instruments
layer4,32,hearts on them
layer4,32,wooden objects with holes in them
layer3,963,stripes
layer3,963,slits
layer3,963,a feature on an object that is doubled
layer4,768,"animals, boxes, rulers and boats"
layer4,768,white dogs
layer4,768,pictures of animal
layer4,1946,people and cakes
layer4,1946,human arms
layer4,1946,shoulders and mouths
layer4,1837,"a phone on the cabinet, a mower, a girl sitting on a bench"
layer4,1837,objects with curve features
layer4,1837,areas where two items are connected
layer1,210,spots of the color white
layer1,210,"a bird landing, a bottle washed, a cricket, a fish in the ocean, fruit on a branch, people performing"
layer1,210,sharks as well as household objects
layer3,415,the background around the animals
layer3,415,areas that contain yellow or orange
layer3,415,dogs
layer4,128,animals and the sky
layer4,128,animal legs
layer4,128,the entirety of an animal
layer4,469,brown objects and containers
layer4,469,amber liquid
layer4,469,rounded edges in pictures
layer4,730,"a man holding a ball, a flamingo, a man holding a trumpet"
layer4,730,"animals, shovels, jewels and metal objects"
layer4,730,objects with curves
layer1,103,a dog sitting on a sofa
layer1,103,circular objects
layer1,103,parts of the top outlines of things
layer3,378,grass
layer3,378,the area around angles and some lines
layer3,378,grass or dirt areas
layer3,836,mouths
layer3,836,dog faces
layer3,836,"a lot of mouths, mostly dogs but also a couple of humans"
layer3,695,spots of white and blue
layer3,695,"produce, food and electronics"
layer3,695,red objects
layer4,973,"animals, remotes and cylindrical objects"
layer4,973,small furry animals
layer4,973,corners
layer2,129,spots of the color white
layer2,129,separate color areas
layer2,129,"the sky, person, clock, animal"
layer3,972,shelves of different objects
layer3,972,parts of things that are rounded
layer3,972,round or cylindrical things
layer4,260,"people, bottles, and poles"
layer4,260,plastic items
layer4,260,"baby, child, fruit, bottle"
layer4,422,"graphics on a crockpot, guitar pick, carpet, snake"
layer4,422,animals and carpet
layer4,422,textured areas
layer4,1089,"a bird in the wild, a dog, a semi truck going down the street, a lizard"
layer4,1089,"animals, vehicles, vases"
layer4,1089,animals and vehicles
layer4,2026,"a shelf behind a sofa, a books shelf behind a man"
layer4,2026,books on a bookshelf
layer4,2026,books
layer3,40,dog noses
layer3,40,eyes and noses on dogs
layer3,40,noses of animals
layer2,509,"the space above a camera, a four poster bed, a coffee machine, a row of slot machines, a spiral ceiling with between each one, spaces on a typewriter"
layer2,509,wooden objects
layer2,509,pieces of bigger structures
layer4,812,animals and metal objects
layer4,812,"animals, cars and containers"
layer4,812,bottles
layer3,875,"animals, produce, and circular objects"
layer3,875,round objects
layer3,875,small round objects
layer4,1137,"table and chairs, bus, car, person sitting down in a chair"
layer4,1137,"animals, vehicles, keys and furniture"
layer4,1137,items with straight features
layer4,1551,"a musical on stage, a person at an atm, a person hiking, a person on a snowmobile"
layer4,1551,people with straps
layer4,1551,outdoor activities
conv1,2,audio equipment
conv1,2,nothing highlighted
conv1,2,nothing
layer2,50,orange dots
layer2,50,"varying degrees of reds, oranges, and yellows"
layer2,50,orange areas in picture
layer4,31,round colorful objects
layer4,31,animal faces
layer4,31,hands or things  shaped  like fist
layer4,382,brown animals
layer4,382,animals
layer4,382,living creatures
layer4,599,lines with gaps and dots
layer4,599,"left and right side of a cat, boys face, pill bottle, people looking at a menu, people looking through a drain"
layer4,599,"animals, crosswords and grids"
layer4,1095,balls and cylinders
layer4,1095,dogs with tennis balls
layer4,1095,balls
conv1,4,a basket with it
conv1,4,clocks and baskets
conv1,4,more sitting of the chairs
layer3,407,orange and red objects
layer3,407,a two tone color gradient
layer3,407,colorful things
layer3,1006,"body parts, bottles and a remote"
layer3,1006,white skin
layer3,1006,skin and objects with similar colors
layer3,908,"animals, toys and bottles"
layer3,908,black outlines
layer3,908,"mug, stuffed anima, insect, rodent, person"
layer4,1362,objects on fire and straight lines
layer4,1362,fire and the sun
layer4,1362,flames
layer4,1665,"a person holding a sign, a man laying down on the sofa with his dog"
layer4,1665,curved items
layer4,1665,person
layer3,742,cups and bowls
layer3,742,bowl shaped objects
layer3,742,"coffee maker, cup, bowl, plant"
layer4,231,animals and black and white objects
layer4,231,objects with text or texture
layer4,231,things that are black and white
layer4,1338,chest of people wearing skirts
layer4,1338,dresses and poles
layer4,1338,dresses and skirts
layer4,1850,water towers and round objects
layer4,1850,"hands, and things that look like martini glasses"
layer4,1850,items with curves
layer2,4,repeating edges and boundaries with round shapes
layer2,4,"sign, guitar, water tower, sky, person"
layer2,4,long objects
layer2,471,spots of the color white
layer2,471,dots of various colors
layer2,471,lighter areas
layer2,313,the front of a vow bus
layer2,313,every item is in layers upon layers
layer2,313,car cross a road
layer3,341,the corners and borders of objects
layer3,341,"the text bellow a bunny, vegetables"
layer3,341,lighter areas
layer3,98,objects in the sky
layer3,98,planes and flags
layer3,98,things that are in the air
layer4,987,"animals, vehicles, poles and windows"
layer4,987,objects or areas with lines in them
layer4,987,bugs
layer4,1660,animals and signs
layer4,1660,items in the central focus
layer4,1660,brighter areas on objects
layer4,1845,"food, a dog wearing a skirt, aquatic life"
layer4,1845,animals and circles
layer4,1845,items with straight features
layer3,3,beaks of birds and ears of dogs
layer3,3,beaks of birds
layer3,3,the backgrounds are all bright in contrast to their focal points
layer2,183,spots of the color white and clothing boundaries
layer2,183,white skin
layer2,183,human skin
layer3,748,noses and embossed items
layer3,748,animal noses and objects that resemble them
layer3,748,similar patterns
layer4,295,animals and electronics
layer4,295,square objects
layer4,295,electronic devices and watches
layer4,1618,"right side of a kid, a dog playing with his toys in a field, eggs in a cage"
layer4,1618,items that are rounded
layer4,1618,"animals, people, ball"
layer4,1126,"pocket holder, animals, bulding"
layer4,1126,animals and screens
layer4,1126,edges
layer2,510,spots of the color white
layer2,510,"left and right of a zebra's ears, spaces on a dogs jacket, a hog in their, a horse in the farm"
layer2,510,random spots
layer3,47,the area between stems and tops
layer3,47,rounded spaces
layer3,47,rounded edges in pictures
layer4,1239,curved edges on objects
layer4,1239,"animals, food and circular objects"
layer4,1239,red and orange objects
layer4,317,"animals, plaques and other square objects"
layer4,317,faces on animals and objects
layer4,317,brown dogs
layer4,1502,"a person holding an axe, a armadillo"
layer4,1502,sticks and necks
layer4,1502,long stick-like objects
conv1,26,stripes of a zebra
conv1,26,the space directly running along the side of a curved strap
conv1,26,"animal, clock, logo, person"
layer3,258,things that are longer that they are wide
layer3,258,the images stripped objects
layer3,258,stripes in picture
layer4,40,"animals, vehicles and benches"
layer4,40,large spiders
layer4,40,top of vehicle
layer3,620,poles and sticks
layer3,620,wooden objects and branches
layer3,620,birds
layer4,856,babies and striped objects
layer4,856,faces of people
layer4,856,items that have straight features
layer4,845,tall perpendicular lines
layer4,845,animals and poles
layer4,845,shaggy dogs and poles
layer4,1811,"duck on the water, parrot"
layer4,1811,"animals, water and food"
layer4,1811,items with triangular features
conv1,11,"transportation, a shower head, a piano"
conv1,11,the outlines of objects
conv1,11,"moped. piano, chair"
layer3,474,parts of objects with wavy edges
layer3,474,necklaces
layer3,474,rounded edges in pictures
layer3,466,heads of different birds
layer3,466,faces of various colorful birds
layer3,466,bird heads
layer4,471,objects with more than one curved line
layer4,471,animals
layer4,471,black bugs
layer4,1366,animals
layer4,1366,dark animals and objects
layer4,1366,black dogs
layer3,293,animal ears
layer3,293,an animal's ears
layer3,293,the ears on an animal at rest
layer3,461,arches and wheels
layer3,461,wheels
layer3,461,rounded edges in pictures
layer3,615,white and wooden poles and chins
layer3,615,area on an object where red transitions to a lighter color
layer3,615,neck braces and red tops
layer4,972,"animals, water and plaques"
layer4,972,objects with fur or lines
layer4,972,bugs
layer4,1399,"bird, dog, fox"
layer4,1399,legs and objects that resemble them
layer4,1399,"animal, ladder, person"
layer4,1682,"vehicles, backgrounds and smoke"
layer4,1682,smoke
layer4,1682,smoke
layer1,212,tips of an airplanes wing
layer1,212,dots outlining a object
layer1,212,the outlines of pointed areas
layer3,476,ears and similar shaped objects
layer3,476,dog ears
layer3,476,shaped like ears
layer4,123,furniture
layer4,123,seating areas and pillows
layer4,123,"clothing, pillow, animal, person. free weights, sofa"
layer4,466,"animals, furniture, chains and buildings"
layer4,466,brown dogs
layer4,466,things that can be held
layer4,1413,"vehicles, grass, sax, and food"
layer4,1413,textured surfaces
layer4,1413,"person, food, vehicle, nature"
layer4,1801,"gravel near a river, table people are dining at, trail, rocks on a surface, fountains"
layer4,1801,items with curved features
layer4,1801,similar color patterns
layer2,377,"shark pin, spiders legs, spaces a camera lense, wires of a cassette tape"
layer2,377,outlines of black circles
layer2,377,"animal, fruit"
layer1,147,"an orange, a whale with text bellow space enclosed"
layer1,147,dots outlining a object
layer1,147,sharks and the ocean
layer3,581,things shaped like flowers
layer3,581,flowers with petals
layer3,581,animals in pictures
layer4,68,striped poles and animals
layer4,68,striped
layer4,68,"insect, socks, stripped objects"
layer4,624,"mirror of a semi, a gear on some sort of meter, two people gliding with the help of a parachute, birds in flight, a musician on stage, tree"
layer4,624,animals and wooden objects
layer4,624,pictures of animal
layer4,909,"animals, water and poles"
layer4,909,animals and rod shaped items
layer4,909,skinny poles
layer2,281,"ant on the ground, a dog on the sofa, a clock on the wall"
layer2,281,letters and numbers
layer2,281,signage and eyes
layer3,136,"flowers, animals and metal"
layer3,136,base of nail or cylinder
layer3,136,striated lines
layer4,140,black and white animals
layer4,140,black dogs
layer4,140,black fur or clothing
layer4,1249,"keyboards, laptops, people, and dots"
layer4,1249,keyboards for computers
layer4,1249,surfaces in them
layer4,848,"faces and animals, and objects that may resemble them"
layer4,848,something with  zig zag lines
layer4,848,items that are the central focus
layer4,1790,"fruit in a basket, dog, wine glass, guitar, fish"
layer4,1790,"animals, food, musical instruments and carts"
layer4,1790,items with angles
layer2,288,a polar bear carry a disk
layer2,288,red booths and vehicles
layer2,288,red in the colour
layer2,272,circles and repeating lines
layer2,272,stripes objects
layer2,272,similar patterns
layer3,988,ears of animals
layer3,988,the ears of animals
layer3,988,ears on animals
layer4,976,"people, cookware and vases"
layer4,976,textured areas
layer4,976,"portions of several people's faces, as well as random corners of other assorted items"
layer3,949,the sky or lights
layer3,949,blue skies
layer3,949,the sky
layer4,1800,"a bird in the grass, a kid on the dishwasher, dogs, people cooking food"
layer4,1800,sides of objects
layer4,1800,"inspect, food"
layer4,1706,"an elephant walking forward, a statue, a moped, a bird on a branch, a old soldier"
layer4,1706,animals and people
layer4,1706,appendages
layer3,240,animal faces and corners of objects
layer3,240,sides of a hotel
layer3,240,gaps in objects
layer2,58,things that are the color purple
layer2,58,no pattern or highlight
layer2,58,specific patterns
layer4,94,"poles, animals and circles"
layer4,94,fencing and white lines
layer4,94,"animal, person, water bowl, hand, road"
layer4,505,"animals, patterned objects and stores"
layer4,505,patterns on surfaces
layer4,505,clothing
layer4,1228,"animals, lights and firearms"
layer4,1228,scorpions
layer4,1228,things outside
layer4,2018,"star fish, dress"
layer4,2018,curved features
layer4,2018,edges of objects
layer2,463,"fruits and vegetables, bottle, spaces on the suite of a soldier"
layer2,463,curved objects and legs
layer2,463,please have a gradient of color
layer2,90,"a hot air ballon, a fish in the sea, a couple birds on a stump"
layer2,90,the edges of things
layer2,90,red lettering
layer3,613,vehicles and other metal objects
layer3,613,white vehicles
layer3,613,solid sides of metal objects
layer3,724,the background
layer3,724,green grass
layer3,724,blue and white backgrounds
layer4,1585,insects and sea creatures
layer4,1585,"animals, striped objects and furniture"
layer4,1585,areas with many lines
layer4,1572,"a dog in the grass, puppy, a person doing acrobats, a panda. adog walking down the sidewalk"
layer4,1572,"animals, balls and shells"
layer4,1572,brown dogs
conv1,52,space above a old typewriter or building
conv1,52,household materials and pets
conv1,52,white objects
layer3,493,the area under animals and circles
layer3,493,dogs
layer3,493,rounded edges in pictures
layer4,964,faces of people and containers
layer4,964,"people, dishes and blinds"
layer4,964,rounded edges in pictures
layer4,1877,fox or animal
layer4,1877,angles
layer4,1877,faces of animals
layer2,443,"the front of a car grill,beams of a bridge, letters of a speedometer"
layer2,443,striped objects
layer2,443,edges of vehicles and black lines
layer2,47,"a spiral slide, a man fixing a women's hair, a musician playing at a table"
layer2,47,poles
layer2,47,office equipment
layer4,107,square objects with a handle
layer4,107,"switches, furniture and things with wings"
layer4,107,two lines that are connected by a third area
layer4,766,colorful decorations
layer4,766,contain items that are on other items
layer4,766,pictures of animal
layer4,1079,"man's hand, tents on a beach, a pan on the sink"
layer4,1079,"chains, grass and tent shaped items"
layer4,1079,items on other items
layer4,1408,"animals, words, and flower buds"
layer4,1408,curved shapes
layer4,1408,"animals, nature"
layer2,292,the color blue bordering orange
layer2,292,person's jacket
layer2,292,blue in the colour
layer3,1000,the bodies of dogs
layer3,1000,dog torsos
layer3,1000,bodies of brown dogs
layer3,70,the area around heads and remotes
layer3,70,heads of different animals
layer3,70,edges of objects
layer3,960,bird necks
layer3,960,necks of birds
layer3,960,pictures of birds
layer4,778,animals and pens
layer4,778,"long, thin features on an object"
layer4,778,paddles for kayaks
layer4,2045,animals in the wild
layer4,2045,"animals, carts and buildings"
layer4,2045,things outside
layer4,1540,"a dog holding a soccer ball, a kid doing gymnastics, a kid wearing a shower cap"
layer4,1540,"animals, balls, furniture and trucks"
layer4,1540,the regions have items with angles
layer3,448,hands of people
layer3,448,hands and feet
layer3,448,hands and paws
layer3,976,"multiples of each item, and all the multiples have either different colors or different shapes"
layer3,976,multiple objects
layer3,976,the middle of objects
layer4,646,"animals, clocks and screws"
layer4,646,circular objects
layer4,646,rounded objects
layer4,485,umbrellas and curved lines
layer4,485,handles and umbrellas
layer4,485,red objects
layer4,1490,"a dog in a cage, a mouse, a sky"
layer4,1490,"animals, pencils and water"
layer4,1490,speckled
layer4,1522,"ducks in a pond, hand of someone, mouse trap, hand"
layer4,1522,hands and birds
layer4,1522,hands
layer1,113,yellow objects
layer1,113,nothing highlighted
layer1,113,brighter areas within objects
layer3,255,flowers and spots of white
layer3,255,"clothing on a mannequin or real person, left and right of an object, a person posing for a picture with or without their dog"
layer3,255,"pale, skin tone, and red colored spots"
layer3,612,trees
layer3,612,trees
layer3,612,foliage in the background of an image
layer3,641,stripes and dots
layer3,641,striped snakes
layer3,641,"fish, animal, snake, flower, person, sand"
layer4,1962,legs of people and water in a background
layer4,1962,legs or water
layer4,1962,chest and legs
layer4,1321,birds and the sky
layer4,1321,"animals, food and the sky"
layer4,1321,"sky, clouds, hats, birds, and geometry"
layer2,68,electronic devices
layer2,68,half of two shades of color
layer2,68,orange areas in picture
layer4,338,faces
layer4,338,sunglasses
layer4,338,glasses in them
layer4,293,"animals, poles, and water towers"
layer4,293,sharks
layer4,293,nature
layer4,1691,"bug, fish"
layer4,1691,animals
layer4,1691,"animals, both that live on land and live in the water"
layer4,1617,"bike, soldier in uniform, a bird on a branch"
layer4,1617,motorcycles
layer4,1617,blue or bikes
layer3,77,the color brown
layer3,77,aquatic life
layer3,77,brownish color
layer2,342,beer bottles on a shelf
layer2,342,red edges and blue skies
layer2,342,"gauge, sign, tooth, crane, sky"
conv1,21,clock's rim
conv1,21,black lettering
conv1,21,tiny bits of thin areas
layer3,166,thin cylinders
layer3,166,barbels
layer3,166,barbell like objects
layer3,1005,parts of gold things
layer3,1005,food in people's mouths
layer3,1005,thing that people may put near their mouths
layer4,818,"windows, needles and furniture"
layer4,818,tiles of different kinds
layer4,818,a crisscross  shape
layer4,515,splashing water
layer4,515,water and remotes
layer4,515,water sources
layer4,1827,"animals, cars, birds,people"
layer4,1827,animals and windows
layer4,1827,animals
layer3,235,"a dog collar, a persons mask, a snake, a dog collar, a person posing for a photo"
layer3,235,green leaches and other i shapes
layer3,235,animal collars
layer1,255,the mouth of a shark where its teeth are
layer1,255,words or outlines of animals and boats
layer1,255,black lettering
layer4,53,faces of animals
layer4,53,"animals, tacks and necks"
layer4,53,metal hooks
layer4,308,animals and golden objects
layer4,308,metal objects
layer4,308,"logo, door handle"
layer4,717,"a kid on a pole, a money in the trees, a dog in the grass"
layer4,717,animals and hook shapes
layer4,717,animals
layer4,1961,animals and foliage
layer4,1961,"fur, grass and mops"
layer4,1961,human hands
conv1,42,"letters of a clock, a ambulance"
conv1,42,black letters and numbers
conv1,42,"the edges surrounding a thin, black colored space"
layer2,402,"outlines or sticks, poles and bird parts"
layer2,402,steel towers and birds
layer2,402,brighter areas within objects
layer2,208,spots of the color white
layer2,208,cats and dogs
layer2,208,lighter areas
layer4,78,animal parts and rounded corners
layer4,78,small brown animals
layer4,78,legs or upper body of animals/humans
layer4,475,animals and fruits
layer4,475,animals and objects that resemble them
layer4,475,pictures of animal
layer4,1322,"aquatic life, tire on a trailer, a bird on a  branch, a person's forehead"
layer4,1322,"people, wheels, poles and birds"
layer4,1322,"people, nature"
layer2,442,white and black borders
layer2,442,"washing machine, ironing device, my player, a maze of stairs and guard rails"
layer2,442,circular objects that are mechanical
layer2,172,edges of objects and bottles
layer2,172,red objects
layer2,172,brighter areas in objects
layer4,113,people and animals
layer4,113,animals and humans
layer4,113,baby faces
layer3,929,"ears, winds, and tails"
layer3,929,"wings, tails and fins"
layer3,929,parts of different birds
layer4,1030,food items and animals
layer4,1030,"space arond a man's shirt, frog, pancakes"
layer4,1030,brown objects
layer4,1524,"dog, a butterfly on a leaf"
layer4,1524,living things
layer4,1524,animal
layer1,51,borders of objects and text
layer1,51,space on a soldiers jacket guarding the palace
layer1,51,dots and diagonals outlining a object
layer1,127,"instrument, speedometer, cactus on a beach, fruit"
layer1,127,{these are diagonal lines
layer1,127,lines that are next to each other
layer3,158,orange objects
layer3,158,orange areas
layer3,158,objects with red and orange
layer3,907,the sky at the top of a photo
layer3,907,the sky and the walls
layer3,907,land animals
layer4,928,animals
layer4,928,objects with lines
layer4,928,large spiders
layer4,1316," base of a pole, a puppy, a car in a drive through, a dog"
layer4,1316,animals and poles
layer4,1316,human hands
layer1,234,the color blue
layer1,234,dogs
layer1,234,blue areas in pictures
layer2,170,white objects surrounded by a single color
layer2,170,the noses of different dogs
layer2,170,specific patterns
layer4,390,fur and objects with intricate line features
layer4,390,dogs and cats
layer4,390,"animal, fence, ship, person"
layer4,754,animals and buildings
layer4,754,birds
layer4,754,birds
layer4,1069,animals and boats
layer4,1069,green grass
layer4,1069,animals  or plants
layer4,1508,"a deer in the woods, a elephant, a dog, a fox"
layer4,1508,"animals, lines and laptops"
layer4,1508,objects with black and brown color
layer3,198,black and white borders with repeating lines
layer3,198,a butterfly
layer3,198,the colors white and black and some lines and support beams
layer3,19,"a bird beak on a branch, dogs muzzle"
layer3,19,beaks of different birds
layer3,19,mouth
layer3,117,circular objects and green ones
layer3,117,green spots
layer3,117,straight lines in these regions
layer3,764,walls and electronics
layer3,764,dogs
layer3,764,"person, led"
layer4,952,boxes and books
layer4,952,boxes
layer4,952,boxes
layer4,2031,animals and bottles
layer4,2031,areas where objects or shapes repeat
layer4,2031,items that are similar to each other
layer4,1918,"boat, horse, food, boat"
layer4,1918,"objects with red, yellow or brown areas"
layer4,1918,two items that are connected
layer1,246,feathers of a bird
layer1,246,these images all show lines within them
layer1,246,patterns
layer2,49,lines that cover a background
layer2,49,pale areas in between dark lines
layer2,49,patterns
layer4,199,whitish animals and pillows
layer4,199,small white animals
layer4,199,triangular features
layer3,703,animals and things on shelves
layer3,703,bottles and heads
layer3,703,the tops of objects
layer4,1445,animals
layer4,1445,ears of animals
layer4,1445,"animal, nature"
layer4,1997,"a lizard, means of transportation, aquatic life, a bird, a do"
layer4,1997,"heads, towers, and office things"
layer4,1997,"animal, nature, helicopter"
layer1,204,spots of the color white
layer1,204,"text on the side of an airplane, sunglasses hanging on a rack, a bird on a branch"
layer1,204,pale areas next to dark areas
layer3,50,these look at two tone patterns
layer3,50,black surrounded by single color background
layer3,50,human eyes and wooden objects
layer4,254,animals
layer4,254,black figures
layer4,254,these look cloaked like a hood
layer4,756,animals with fur
layer4,756,mugs and bowls
layer4,756,rounded edges in pictures
layer4,705,animals and orange objects
layer4,705,objects with orange and white
layer4,705,birds with orange stomachs
layer4,1512,towers and clothes
layer4,1512,mansions or flag poles
layer4,1512,items with peaks
layer1,93,a butterfly on a leaf
layer1,93,outlines of white areas
layer1,93,dots on different types of butterflies
layer3,113,noses of dogs and edges
layer3,113,round edges of objects
layer3,113,gaps in between things
layer3,813,objects with dots and holes
layer3,813,patterns made of small items
layer3,813,"book, phone, boat, food, label"
layer4,582,"poles, pots, animals, and curved objects"
layer4,582,rounded objects
layer4,582,part of rounded items
layer4,922,butterflies and circular objects
layer4,922,vegetation
layer4,922,colored produce
layer3,252,colors of the outdoors
layer3,252,"space on a classic truck towards the back, a wrapped up golf club"
layer3,252,animal
layer1,53,areas with black lines in them like stripes
layer1,53,the lines on the zebras and the horizontal lines the girls' legs are making in a jump are resemblance
layer1,53,objects containing stripes
layer3,567,animal faces and electronics
layer3,567,eyes of land animals
layer3,567,"food, animal, toaster"
layer3,591,"buttons, words and stripes"
layer3,591,buttons on electronics
layer3,591,writing on them
layer4,1204,animals and domes
layer4,1204,knob shapes
layer4,1204,older towers and dogs
layer4,1318,ceramic animals and animals with fur
layer4,1318,animals and circular objects
layer4,1318,items that are rounded
layer3,361,containers and bottles
layer3,361,these objects are tube-shaped
layer3,361,containers that hold things
layer2,115,red objects surrounded by backgrounds
layer2,115,"grass, dog, candle, table"
layer2,115,spotted areas in pictures
layer3,954,"animals, rocks, and rims"
layer3,954,brown dogs
layer3,954,tops of objects
layer4,243,"mammals, birds, and wooden surfaces"
layer4,243,animals and tables
layer4,243,similar color patterns
layer4,1361,dogs and brass instruments
layer4,1361,shiny areas
